LA Angels,20140416,4.43
Cleveland,20140416,4.45
NY Mets,20140416,4.49
Philadelphia,20140416,4.59
Colorado,20140416,4.78
Chi Sox,20140416,5.15
Minnesota,20140416,5.46
Arizona,20140416,6.14
Milwaukee,20140417,2.17
Atlanta,20140417,2.52
Oakland,20140417,2.57
Seattle,20140417,2.72
San Diego,20140417,2.89
LA Dodgers,20140417,3.07
Kansas City,20140417,3.18
SF Giants,20140417,3.33
Boston,20140417,3.40
Detroit,20140417,3.44
Cincinnati,20140417,3.50
St. Louis,20140417,3.51
Tampa Bay,20140417,3.53
Toronto,20140417,3.56
NY Yankees,20140417,3.61
Texas,20140417,3.73
Pittsburgh,20140417,3.74
Baltimore,20140417,3.93
Washington,20140417,3.97
Chi Cubs,20140417,4.01
Miami,20140417,4.12
Cleveland,20140417,4.19
LA Angels,20140417,4.31
NY Mets,20140417,4.33
Philadelphia,20140417,4.33
Houston,20140417,4.38
Colorado,20140417,4.70
Chi Sox,20140417,5.02
Minnesota,20140417,5.46
Arizona,20140417,6.02
Atlanta,20140418,2.44
Oakland,20140418,2.57
Milwaukee,20140418,2.73
San Diego,20140418,2.89
LA Dodgers,20140418,2.95
Kansas City,20140418,3.02
Seattle,20140418,3.10
SF Giants,20140418,3.24
Boston,20140418,3.25
St. Louis,20140418,3.29
Detroit,20140418,3.32
NY Yankees,20140418,3.45
Cincinnati,20140418,3.50
Pittsburgh,20140418,3.64
Texas,20140418,3.88
Tampa Bay,20140418,3.88
Baltimore,20140418,3.93
Chi Cubs,20140418,4.01
Toronto,20140418,4.05
Washington,20140418,4.10
Miami,20140418,4.12
Philadelphia,20140418,4.17
LA Angels,20140418,4.31
NY Mets,20140418,4.33
Cleveland,20140418,4.35
Houston,20140418,4.36
Colorado,20140418,4.47
Chi Sox,20140418,4.90
Minnesota,20140418,5.00
Arizona,20140418,6.02
Atlanta,20140419,2.28
Oakland,20140419,2.59
Milwaukee,20140419,2.63
San Diego,20140419,2.78
Kansas City,20140419,2.82
LA Dodgers,20140419,2.95
SF Giants,20140419,3.14
St. Louis,20140419,3.17
Cincinnati,20140419,3.28
Seattle,20140419,3.37
Boston,20140419,3.53
Texas,20140419,3.65
Pittsburgh,20140419,3.72
Chi Cubs,20140419,3.88
Detroit,20140419,3.91
Washington,20140419,3.92
Toronto,20140419,3.93
NY Yankees,20140419,3.93
Baltimore,20140419,3.93
Miami,20140419,3.93
Tampa Bay,20140419,3.95
Colorado,20140419,4.21
Cleveland,20140419,4.26
LA Angels,20140419,4.41
NY Mets,20140419,4.43
Philadelphia,20140419,4.70
Houston,20140419,4.77
Minnesota,20140419,5.04
Chi Sox,20140419,5.34
Arizona,20140419,5.70
Atlanta,20140420,2.44
Oakland,20140420,2.56
San Diego,20140420,2.68
Milwaukee,20140420,2.82
Kansas City,20140420,2.90
LA Dodgers,20140420,2.95
SF Giants,20140420,3.15
St. Louis,20140420,3.16
Boston,20140420,3.44
Seattle,20140420,3.49
Cincinnati,20140420,3.59
Texas,20140420,3.61
Toronto,20140420,3.70
Miami,20140420,3.71
Washington,20140420,3.75
Detroit,20140420,3.78
Tampa Bay,20140420,3.78
Chi Cubs,20140420,3.82
Pittsburgh,20140420,3.95
Baltimore,20140420,3.97
Colorado,20140420,3.98
Cleveland,20140420,4.25
NY Mets,20140420,4.40
LA Angels,20140420,4.42
NY Yankees,20140420,4.53
Philadelphia,20140420,4.63
Houston,20140420,4.75
Minnesota,20140420,5.01
Chi Sox,20140420,5.41
Arizona,20140420,5.75
Atlanta,20140421,2.40
Oakland,20140421,2.48
Milwaukee,20140421,2.69
San Diego,20140421,2.75
LA Dodgers,20140421,2.85
SF Giants,20140421,3.14
St. Louis,20140421,3.16
Kansas City,20140421,3.20
Seattle,20140421,3.48
Cincinnati,20140421,3.50
Boston,20140421,3.52
Detroit,20140421,3.59
Miami,20140421,3.62
Washington,20140421,3.66
Tampa Bay,20140421,3.78
Pittsburgh,20140421,3.79
Toronto,20140421,3.85
Baltimore,20140421,3.92
Chi Cubs,20140421,4.06
Texas,20140421,4.11
Colorado,20140421,4.19
NY Mets,20140421,4.20
NY Yankees,20140421,4.21
LA Angels,20140421,4.21
Cleveland,20140421,4.23
Houston,20140421,4.68
Philadelphia,20140421,4.88
Minnesota,20140421,4.90
Chi Sox,20140421,5.18
Arizona,20140421,5.70
Atlanta,20140422,2.32
Oakland,20140422,2.55
Milwaukee,20140422,2.66
San Diego,20140422,2.83
LA Dodgers,20140422,3.01
St. Louis,20140422,3.12
Kansas City,20140422,3.26
SF Giants,20140422,3.40
Seattle,20140422,3.46
Washington,20140422,3.48
Detroit,20140422,3.55
Miami,20140422,3.64
Cincinnati,20140422,3.64
Boston,20140422,3.70
Tampa Bay,20140422,3.78
Pittsburgh,20140422,3.80
Toronto,20140422,3.85
Chi Cubs,20140422,3.90
NY Mets,20140422,3.99
Colorado,20140422,4.03
Baltimore,20140422,4.03
Texas,20140422,4.05
LA Angels,20140422,4.10
Cleveland,20140422,4.11
NY Yankees,20140422,4.21
Houston,20140422,4.55
Philadelphia,20140422,4.62
Minnesota,20140422,4.90
Chi Sox,20140422,4.97
Arizona,20140422,5.69
Atlanta,20140423,2.25
Milwaukee,20140423,2.59
Oakland,20140423,2.67
San Diego,20140423,2.70
LA Dodgers,20140423,2.94
St. Louis,20140423,2.97
Kansas City,20140423,3.14
SF Giants,20140423,3.35
Miami,20140423,3.46
Cincinnati,20140423,3.50
Seattle,20140423,3.54
Washington,20140423,3.55
Detroit,20140423,3.70
Boston,20140423,3.71
Tampa Bay,20140423,3.74
Chi Cubs,20140423,3.80
Toronto,20140423,3.81
Pittsburgh,20140423,3.81
Colorado,20140423,3.89
NY Mets,20140423,3.95
Texas,20140423,3.95
LA Angels,20140423,3.99
NY Yankees,20140423,4.15
Cleveland,20140423,4.26
Baltimore,20140423,4.27
Houston,20140423,4.43
Philadelphia,20140423,4.46
Minnesota,20140423,5.04
Chi Sox,20140423,5.14
Arizona,20140423,5.69
Atlanta,20140424,2.10
Milwaukee,20140424,2.52
Oakland,20140424,2.69
San Diego,20140424,2.82
St. Louis,20140424,2.84
LA Dodgers,20140424,2.90
Kansas City,20140424,3.20
Miami,20140424,3.41
Cincinnati,20140424,3.43
Seattle,20140424,3.51
Washington,20140424,3.52
Boston,20140424,3.59
SF Giants,20140424,3.62
Texas,20140424,3.77
Tampa Bay,20140424,3.79
Chi Cubs,20140424,3.81
Pittsburgh,20140424,3.82
Detroit,20140424,3.83
NY Mets,20140424,3.86
LA Angels,20140424,4.05
Toronto,20140424,4.11
NY Yankees,20140424,4.11
Cleveland,20140424,4.15
Colorado,20140424,4.21
Baltimore,20140424,4.46
Houston,20140424,4.47
Philadelphia,20140424,4.51
Minnesota,20140424,4.86
Chi Sox,20140424,5.09
Arizona,20140424,5.58
Atlanta,20140425,2.10
Milwaukee,20140425,2.52
Oakland,20140425,2.61
San Diego,20140425,2.78
St. Louis,20140425,2.87
LA Dodgers,20140425,2.99
Kansas City,20140425,3.31
Cincinnati,20140425,3.32
Miami,20140425,3.41
Washington,20140425,3.49
Seattle,20140425,3.51
SF Giants,20140425,3.62
NY Mets,20140425,3.73
Pittsburgh,20140425,3.74
Texas,20140425,3.77
Boston,20140425,3.82
Detroit,20140425,3.83
Chi Cubs,20140425,3.86
Cleveland,20140425,3.96
NY Yankees,20140425,4.02
Tampa Bay,20140425,4.03
LA Angels,20140425,4.05
Colorado,20140425,4.21
Toronto,20140425,4.38
Baltimore,20140425,4.44
Philadelphia,20140425,4.44
Houston,20140425,4.71
Minnesota,20140425,4.96
Chi Sox,20140425,5.20
Arizona,20140425,5.39
Atlanta,20140426,2.19
Milwaukee,20140426,2.50
Oakland,20140426,2.67
St. Louis,20140426,2.74
LA Dodgers,20140426,3.04
San Diego,20140426,3.14
Kansas City,20140426,3.15
Washington,20140426,3.39
Cincinnati,20140426,3.41
Miami,20140426,3.44
SF Giants,20140426,3.50
Seattle,20140426,3.58
Pittsburgh,20140426,3.65
NY Mets,20140426,3.70
Boston,20140426,3.70
Texas,20140426,3.89
Detroit,20140426,3.89
LA Angels,20140426,3.92
Chi Cubs,20140426,3.93
Cleveland,20140426,4.02
Colorado,20140426,4.16
Tampa Bay,20140426,4.25
NY Yankees,20140426,4.32
Baltimore,20140426,4.46
Philadelphia,20140426,4.49
Toronto,20140426,4.49
Houston,20140426,4.93
Minnesota,20140426,5.14
Chi Sox,20140426,5.23
Arizona,20140426,5.30
Atlanta,20140427,2.14
Milwaukee,20140427,2.52
Oakland,20140427,2.86
St. Louis,20140427,2.88
LA Dodgers,20140427,3.04
Kansas City,20140427,3.10
San Diego,20140427,3.19
Washington,20140427,3.26
SF Giants,20140427,3.44
Cincinnati,20140427,3.45
Miami,20140427,3.49
Pittsburgh,20140427,3.55
Seattle,20140427,3.69
Boston,20140427,3.80
NY Mets,20140427,3.82
Texas,20140427,3.85
LA Angels,20140427,3.94
Detroit,20140427,3.97
Chi Cubs,20140427,4.00
Tampa Bay,20140427,4.07
Cleveland,20140427,4.08
Colorado,20140427,4.26
NY Yankees,20140427,4.27
Baltimore,20140427,4.33
Philadelphia,20140427,4.42
Toronto,20140427,4.60
Houston,20140427,4.97
Minnesota,20140427,5.00
Chi Sox,20140427,5.18
Arizona,20140427,5.29
Atlanta,20140428,2.04
Milwaukee,20140428,2.58
St. Louis,20140428,2.76
Oakland,20140428,2.95
Kansas City,20140428,3.09
San Diego,20140428,3.14
LA Dodgers,20140428,3.15
