ARI,LAN,20140322,0
ARI,LAN,20140323,0
SDN,LAN,20140330,1
ANA,SEA,20140331,0
ARI,SFN,20140331,0
BAL,BOS,20140331,1
CHA,MIN,20140331,1
CIN,SLN,20140331,0
DET,KCA,20140331,1
MIA,COL,20140331,1
MIL,ATL,20140331,1
NYN,WAS,20140331,0
OAK,CLE,20140331,0
PIT,CHN,20140331,1
TBA,TOR,20140331,1
TEX,PHI,20140331,0
ANA,SEA,20140401,0
ARI,SFN,20140401,1
HOU,NYA,20140401,1
MIA,COL,20140401,1
MIL,ATL,20140401,0
SDN,LAN,20140401,0
TBA,TOR,20140401,0
TEX,PHI,20140401,1
ANA,SEA,20140402,0
ARI,SFN,20140402,0
BAL,BOS,20140402,0
CHA,MIN,20140402,1
CIN,SLN,20140402,1
DET,KCA,20140402,1
HOU,NYA,20140402,1
MIA,COL,20140402,0
MIL,ATL,20140402,0
NYN,WAS,20140402,0
OAK,CLE,20140402,1
OAK,CLE,20140402,0
PIT,CHN,20140402,1
SDN,LAN,20140402,0
TBA,TOR,20140402,0
TEX,PHI,20140402,1
ARI,SFN,20140403,0
BAL,BOS,20140403,0
CHA,MIN,20140403,0
CIN,SLN,20140403,0
HOU,NYA,20140403,0
MIA,COL,20140403,1
NYN,WAS,20140403,0
OAK,SEA,20140403,1
PIT,CHN,20140403,0
TBA,TOR,20140403,1
BOS,MIL,20140404,0
CHN,PHI,20140404,0
CLE,MIN,20140404,1
COL,ARI,20140404,1
DET,BAL,20140404,1
HOU,ANA,20140404,0
KCA,CHA,20140404,1
LAN,SFN,20140404,0
MIA,SDN,20140404,1
NYN,CIN,20140404,1
PIT,SLN,20140404,1
TBA,TEX,20140404,1
TOR,NYA,20140404,0
WAS,ATL,20140404,0
BOS,MIL,20140405,0
CHN,PHI,20140405,0
CLE,MIN,20140405,0
COL,ARI,20140405,1
DET,BAL,20140405,1
HOU,ANA,20140405,0
KCA,CHA,20140405,1
LAN,SFN,20140405,0
MIA,SDN,20140405,1
NYN,CIN,20140405,1
OAK,SEA,20140405,0
PIT,SLN,20140405,0
TBA,TEX,20140405,1
TOR,NYA,20140405,1
WAS,ATL,20140405,0
BOS,MIL,20140406,0
CHN,PHI,20140406,1
CLE,MIN,20140406,0
COL,ARI,20140406,0
DET,BAL,20140406,0
HOU,ANA,20140406,1
KCA,CHA,20140406,0
LAN,SFN,20140406,1
MIA,SDN,20140406,0
NYN,CIN,20140406,0
OAK,SEA,20140406,1
PIT,SLN,20140406,1
TBA,TEX,20140406,0
TOR,NYA,20140406,0
WAS,ATL,20140406,1
BOS,TEX,20140407,1
COL,CHA,20140407,1
HOU,ANA,20140407,0
KCA,TBA,20140407,1
MIN,OAK,20140407,0
NYA,BAL,20140407,1
SLN,CIN,20140407,1
ATL,NYN,20140408,0
BOS,TEX,20140408,0
CHN,PIT,20140408,0
CLE,SDN,20140408,1
COL,CHA,20140408,0
KCA,TBA,20140408,0
LAN,DET,20140408,1
NYA,BAL,20140408,0
PHI,MIL,20140408,0
SEA,ANA,20140408,1
SFN,ARI,20140408,1
SLN,CIN,20140408,1
TOR,HOU,20140408,1
WAS,MIA,20140408,1
